2025-07-07 10:28:31,619 - 文件: pdf_convert_2207ce6b_page0.png, 尺寸: 9241x6537, 大小: 172.83MB, OCR识别时间: 273.60秒
2025-07-07 10:35:47,837 - 文件: pdf_convert_166080f7_page0.png, 尺寸: 3368x2382, 大小: 22.95MB, OCR识别时间: 101.23秒
2025-07-07 10:38:43,382 - 文件: pdf_convert_dc8cfb27_page0.png, 尺寸: 3368x2382, 大小: 22.95MB, OCR识别时间: 121.45秒
2025-07-07 10:45:22,379 - 文件: pdf_convert_3ce09269_page1.png, 尺寸: 3368x2382, 大小: 22.95MB, OCR识别时间: 102.21秒
2025-07-07 10:48:01,371 - 文件: pdf_convert_061ac8ff_page2.png, 尺寸: 3368x2382, 大小: 22.95MB, OCR识别时间: 103.70秒
2025-07-07 11:02:44,678 - 文件: pdf_convert_f1ad91bf_page3.png, 尺寸: 3368x2382, 大小: 22.95MB, OCR识别时间: 104.84秒
2025-07-07 11:08:14,684 - 文件: pdf_convert_2f9f29c4_page4.png, 尺寸: 3368x2382, 大小: 22.95MB, OCR识别时间: 104.63秒
2025-07-07 11:17:47,418 - 文件: pdf_convert_485bc620_page0.png, 尺寸: 9241x6537, 大小: 172.83MB, OCR识别时间: 242.07秒
2025-07-07 11:32:51,409 - 文件: pdf_convert_d54aadbb_page0.png, 尺寸: 9241x6537, 大小: 172.83MB, OCR识别时间: 180.90秒
2025-07-07 13:10:25,537 - 文件: 123.png, 尺寸: 3509x2480, 大小: 24.90MB, OCR识别时间: 137.13秒
2025-07-07 13:26:23,949 - 文件: 123.png, 尺寸: 3509x2480, 大小: 24.90MB, OCR识别时间: 103.24秒
2025-07-08 09:04:00,850 - 文件: pdf_convert_a6c11a30_page1.png, 尺寸: 9241x6537, 大小: 172.83MB, OCR识别时间: 135.52秒
2025-07-08 09:08:39,050 - 文件: tmplt2j8hwx.png, 尺寸: 272x195, 大小: 0.15MB, OCR识别时间: 75.76秒
2025-07-08 09:20:49,495 - 文件: pdf_convert_23f25c03_page0.png, 尺寸: 13482x9536, 大小: 367.83MB, OCR识别时间: 371.71秒
2025-07-08 13:54:57,351 - 文件: pdf_convert_bde1a4ee_page0.png, 尺寸: 9241x6537, 大小: 172.83MB, OCR识别时间: 209.31秒
2025-07-08 14:08:53,153 - 文件: pdf_convert_511a49cf_page0.png, 尺寸: 9241x6537, 大小: 172.83MB, OCR识别时间: 218.13秒
2025-07-08 14:27:47,843 - 文件: 123.png, 尺寸: 3509x2480, 大小: 24.90MB, OCR识别时间: 95.59秒
2025-07-08 14:32:58,711 - 文件: 123.png, 尺寸: 3509x2480, 大小: 24.90MB, OCR识别时间: 93.52秒
2025-07-08 14:38:50,082 - 文件: 123.png, 尺寸: 3509x2480, 大小: 24.90MB, OCR识别时间: 105.14秒
2025-07-08 14:44:14,503 - 文件: 123.png, 尺寸: 3509x2480, 大小: 24.90MB, OCR识别时间: 95.34秒
2025-07-08 15:04:41,976 - 文件: 123.png, 尺寸: 3509x2480, 大小: 24.90MB, OCR识别时间: 93.12秒
2025-07-08 17:07:16,137 - 文件: 123.png, 尺寸: 3509x2480, 大小: 24.90MB, OCR识别时间: 92.16秒
2025-07-08 17:13:50,790 - 文件: 123.png, 尺寸: 3509x2480, 大小: 24.90MB, OCR识别时间: 93.27秒
